Zip Code,City,County
55111,Saint Paul,Hennepin
55305,Hopkins,Hennepin
55311,Osseo,Hennepin
55316,Champlin,Hennepin
55323,Crystal Bay,Hennepin
55327,Dayton,Hennepin
55331,Excelsior,Hennepin
55340,Hamel,Hennepin
55343,Hopkins,Hennepin
55344,Eden Prairie,Hennepin
55345,Minnetonka,Hennepin
55346,Eden Prairie,Hennepin
55347,Eden Prairie,Hennepin
55348,Maple Plain,Hennepin
55356,Long Lake,Hennepin
55357,Loretto,Hennepin
55359,Maple Plain,Hennepin
55361,Minnetonka Beach,Hennepin
55364,Mound,Hennepin
55369,Osseo,Hennepin
55374,Rogers,Hennepin
55375,Saint Bonifacius,Hennepin
55384,Spring Park,Hennepin
55391,Wayzata,Hennepin
55392,Navarre,Hennepin
55401,Minneapolis,Hennepin
55402,Minneapolis,Hennepin
55403,Minneapolis,Hennepin
55404,Minneapolis,Hennepin
55405,Minneapolis,Hennepin
55406,Minneapolis,Hennepin
55407,Minneapolis,Hennepin
55408,Minneapolis,Hennepin
55409,Minneapolis,Hennepin
55410,Minneapolis,Hennepin
55411,Minneapolis,Hennepin
55412,Minneapolis,Hennepin
55413,Minneapolis,Hennepin
55414,Minneapolis,Hennepin
55415,Minneapolis,Hennepin
55416,Minneapolis,Hennepin
55417,Minneapolis,Hennepin
55418,Minneapolis,Hennepin
55419,Minneapolis,Hennepin
55420,Minneapolis,Hennepin
55422,Minneapolis,Hennepin
55423,Minneapolis,Hennepin
55424,Minneapolis,Hennepin
55425,Minneapolis,Hennepin
55426,Minneapolis,Hennepin
55427,Minneapolis,Hennepin
55428,Minneapolis,Hennepin
55429,Minneapolis,Hennepin
55430,Minneapolis,Hennepin
55431,Minneapolis,Hennepin
55435,Minneapolis,Hennepin
55436,Minneapolis,Hennepin
55437,Minneapolis,Hennepin
55438,Minneapolis,Hennepin
55439,Minneapolis,Hennepin
55440,Minneapolis,Hennepin
55441,Minneapolis,Hennepin
55442,Minneapolis,Hennepin
55443,Minneapolis,Hennepin
55444,Minneapolis,Hennepin
55445,Minneapolis,Hennepin
55446,Minneapolis,Hennepin
55447,Minneapolis,Hennepin
55450,Minneapolis,Hennepin
55454,Minneapolis,Hennepin
55455,Minneapolis,Hennepin
55458,Minneapolis,Hennepin
55459,Minneapolis,Hennepin
55460,Minneapolis,Hennepin
55467,Minneapolis,Hennepin
55468,Minneapolis,Hennepin
55470,Minneapolis,Hennepin
55472,Minneapolis,Hennepin
55473,Minneapolis,Hennepin
55474,Minneapolis,Hennepin
55478,Minneapolis,Hennepin
55479,Minneapolis,Hennepin
55480,Minneapolis,Hennepin
55483,Minneapolis,Hennepin
55484,Minneapolis,Hennepin
55485,Minneapolis,Hennepin
55486,Minneapolis,Hennepin
55487,Minneapolis,Hennepin
55488,Minneapolis,Hennepin
55569,Osseo,Hennepin
55570,Maple Plain,Hennepin
55571,Maple Plain,Hennepin
55572,Rockford,Hennepin
55573,Young America,Hennepin
55574,Maple Plain,Hennepin
55575,Howard Lake,Hennepin
55576,Maple Plain,Hennepin
55577,Rockford,Hennepin
55578,Maple Plain,Hennepin
55579,Maple Plain,Hennepin
55593,Maple Plain,Hennepin
55595,Loretto,Hennepin
55596,Loretto,Hennepin
55597,Loretto,Hennepin
55598,Loretto,Hennepin
55599,Loretto,Hennepin
55101,Saint Paul,Ramsey
55102,Saint Paul,Ramsey
55103,Saint Paul,Ramsey
55104,Saint Paul,Ramsey
55105,Saint Paul,Ramsey
55106,Saint Paul,Ramsey
55107,Saint Paul,Ramsey
55108,Saint Paul,Ramsey
55109,Saint Paul,Ramsey
55110,Saint Paul,Ramsey
55112,Saint Paul,Ramsey
55113,Saint Paul,Ramsey
55114,Saint Paul,Ramsey
55116,Saint Paul,Ramsey
55117,Saint Paul,Ramsey
55119,Saint Paul,Ramsey
55126,Saint Paul,Ramsey
55127,Saint Paul,Ramsey
55130,Saint Paul,Ramsey
55133,Saint Paul,Ramsey
55144,Saint Paul,Ramsey
55145,Saint Paul,Ramsey
55146,Saint Paul,Ramsey
55155,Saint Paul,Ramsey
55161,Saint Paul,Ramsey
55164,Saint Paul,Ramsey
55165,Saint Paul,Ramsey
55166,Saint Paul,Ramsey
55168,Saint Paul,Ramsey
55169,Saint Paul,Ramsey
55170,Saint Paul,Ramsey
55171,Saint Paul,Ramsey
55172,Saint Paul,Ramsey
55175,Saint Paul,Ramsey
55177,Saint Paul,Ramsey
55187,Saint Paul,Ramsey
55188,Saint Paul,Ramsey
55191,Saint Paul,Ramsey
55010,Castle Rock,Dakota
55024,Farmington,Dakota
55031,Hampton,Dakota
55033,Hastings,Dakota
55044,Lakeville,Dakota
55065,Randolph,Dakota
55068,Rosemount,Dakota
55075,South Saint Paul,Dakota
55076,Inver Grove Heights,Dakota
55077,Inver Grove Heights,Dakota
55085,Vermillion,Dakota
55118,Saint Paul,Dakota
55120,Saint Paul,Dakota
55121,Saint Paul,Dakota
55122,Saint Paul,Dakota
55123,Saint Paul,Dakota
55124,Saint Paul,Dakota
55150,Mendota,Dakota
55306,Burnsville,Dakota
55337,Burnsville,Dakota
55005,Bethel,Anoka
55011,Cedar,Anoka
55014,Circle Pines,Anoka
55070,Saint Francis,Anoka
55303,Anoka,Anoka
55304,Andover,Anoka
55421,Minneapolis,Anoka
55432,Minneapolis,Anoka
55433,Minneapolis,Anoka
55434,Minneapolis,Anoka
55448,Minneapolis,Anoka
55449,Minneapolis,Anoka
55001,Afton,Washington
55003,Bayport,Washington
55016,Cottage Grove,Washington
55025,Forest Lake,Washington
55038,Hugo,Washington
55042,Lake Elmo,Washington
55043,Lakeland,Washington
55047,Marine On Saint Croix,Washington
55055,Newport,Washington
55071,Saint Paul Park,Washington
55073,Scandia,Washington
55082,Stillwater,Washington
55083,Stillwater,Washington
55090,Willernie,Washington
55115,Saint Paul,Washington
55125,Saint Paul,Washington
55128,Saint Paul,Washington
55129,Saint Paul,Washington
55020,Elko,Scott
55054,New Market,Scott
55352,Jordan,Scott
55372,Prior Lake,Scott
55378,Savage,Scott
55379,Shakopee,Scott
56011,Belle Plaine,Scott
56071,New Prague,Scott
55301,Albertville,Wright
55302,Annandale,Wright
55313,Buffalo,Wright
55320,Clearwater,Wright
55321,Cokato,Wright
55328,Delano,Wright
55341,Hanover,Wright
55349,Howard Lake,Wright
55358,Maple Lake,Wright
55362,Monticello,Wright
55363,Montrose,Wright
55365,Monticello,Wright
55373,Rockford,Wright
55376,Saint Michael,Wright
55380,Silver Creek,Wright
55382,South Haven,Wright
55390,Waverly,Wright
55393,Maple Plain,Wright
55565,Monticello,Wright
55580,Monticello,Wright
55581,Monticello,Wright
55582,Monticello,Wright
55584,Monticello,Wright
55585,Monticello,Wright
55586,Monticello,Wright
55587,Monticello,Wright
55588,Monticello,Wright
55589,Monticello,Wright
55590,Monticello,Wright
55591,Monticello,Wright
55592,Maple Plain,Wright
55315,Carver,Carver
55317,Chanhassen,Carver
55318,Chaska,Carver
55322,Cologne,Carver
55339,Hamburg,Carver
55360,Mayer,Carver
55367,New Germany,Carver
55368,Norwood Young America,Carver
55383,Norwood,Carver
55386,Victoria,Carver
55387,Waconia,Carver
55388,Watertown,Carver
55394,Young America,Carver
55397,Young America,Carver
55399,Young America,Carver
55550,Young America,Carver
55551,Young America,Carver
55552,Young America,Carver
55553,Young America,Carver
55554,Norwood,Carver
55555,Young America,Carver
55556,Young America,Carver
55557,Young America,Carver
55558,Young America,Carver
55559,Young America,Carver
55560,Young America,Carver
55561,Monticello,Carver
55562,Young America,Carver
55563,Monticello,Carver
55564,Young America,Carver
55566,Young America,Carver
55567,Young America,Carver
55568,Young America,Carver
55583,Norwood,Carver
55594,Young America,Carver
55308,Becker,Sherburne
55309,Big Lake,Sherburne
55319,Clear Lake,Sherburne
55330,Elk River,Sherburne
55377,Santiago,Sherburne
55398,Zimmerman,Sherburne
54002,Baldwin,St Croix
54007,Deer Park,St Croix
54013,Glenwood City,St Croix
54015,Hammond,St Croix
54016,Hudson,St Croix
54017,New Richmond,St Croix
54023,Roberts,St Croix
54025,Somerset,St Croix
54027,Wilson,St Croix
54028,Woodville,St Croix
54082,Houlton,St Croix
55002,Almelund,Chisago
55012,Center City,Chisago
55013,Chisago City,Chisago
55032,Harris,Chisago
55045,Lindstrom,Chisago
55056,North Branch,Chisago
55069,Rush City,Chisago
55074,Shafer,Chisago
55078,Stacy,Chisago
55079,Stacy,Chisago
55084,Taylors Falls,Chisago
55092,Wyoming,Chisago
54003,Beldenville,Pierce County
54010,East Ellsworth,Pierce County
54011,Ellsworth,Pierce County
54014,Hager City,Pierce County
54021,Prescott,Pierce County
54022,River Falls,Pierce County
54723,Bay City,Pierce County
54740,Elmwood,Pierce County
54750,Maiden Rock,Pierce County
54761,Plum City,Pierce County
54767,Spring Valley,Pierce County
55006,Braham,Isanti
55008,Cambridge,Isanti
55017,Dalbo,Isanti
55029,Grandy,Isanti
55040,Isanti,Isanti
55080,Stanchfield,Isanti
56017,Cleveland,Le Seuer
56028,Elysian,Le Seuer
56050,Kasota,Le Seuer
56057,Le Center,Le Seuer
56058,Le Sueur,Le Seuer
56069,Montgomery,Le Seuer
56096,Waterville,Le Seuer
